Gender,Quintile,Residence,Total_Quintile,Total_Gender,Total_Residence,Countries_and_areas
Female,Second_Wealth_quintile,Urban_Residence,53,53,28,Chad
Female,Second_Wealth_quintile,Rural_Residence,53,53,55,Chad
Male,Middle_Wealth_quintile,Urban_Residence,57,47,28,Chad
Male,Middle_Wealth_quintile,Rural_Residence,57,47,55,Chad
Female,Middle_Wealth_quintile,Urban_Residence,57,53,28,Chad
Female,Middle_Wealth_quintile,Rural_Residence,57,53,55,Chad
Male,Fourth_Wealth_quintile,Urban_Residence,55,47,28,Chad
Male,Fourth_Wealth_quintile,Rural_Residence,55,47,55,Chad
Female,Fourth_Wealth_quintile,Urban_Residence,55,53,28,Chad
Female,Fourth_Wealth_quintile,Rural_Residence,55,53,55,Chad
Male,Richest_Wealth_quintile,Urban_Residence,24,47,28,Chad
Male,Richest_Wealth_quintile,Rural_Residence,24,47,55,Chad
Female,Richest_Wealth_quintile,Urban_Residence,24,53,28,Chad
Female,Richest_Wealth_quintile,Rural_Residence,24,53,55,Chad
Male,Poorest_Wealth_quintile,Urban_Residence,3,2,2,Colombia
Male,Poorest_Wealth_quintile,Rural_Residence,3,2,2,Colombia
Female,Poorest_Wealth_quintile,Urban_Residence,3,2,2,Colombia
Female,Poorest_Wealth_quintile,Rural_Residence,3,2,2,Colombia
Male,Second_Wealth_quintile,Urban_Residence,2,2,2,Colombia
Male,Second_Wealth_quintile,Rural_Residence,2,2,2,Colombia
Female,Second_Wealth_quintile,Urban_Residence,2,2,2,Colombia
Female,Second_Wealth_quintile,Rural_Residence,2,2,2,Colombia
Male,Middle_Wealth_quintile,Urban_Residence,1,2,2,Colombia
Male,Middle_Wealth_quintile,Rural_Residence,1,2,2,Colombia
Female,Middle_Wealth_quintile,Urban_Residence,1,2,2,Colombia
Female,Middle_Wealth_quintile,Rural_Residence,1,2,2,Colombia
Male,Fourth_Wealth_quintile,Urban_Residence,1,2,2,Colombia
Male,Fourth_Wealth_quintile,Rural_Residence,1,2,2,Colombia
Female,Fourth_Wealth_quintile,Urban_Residence,1,2,2,Colombia
Female,Fourth_Wealth_quintile,Rural_Residence,1,2,2,Colombia
Male,Richest_Wealth_quintile,Urban_Residence,2,2,2,Colombia
Male,Richest_Wealth_quintile,Rural_Residence,2,2,2,Colombia
Female,Richest_Wealth_quintile,Urban_Residence,2,2,2,Colombia
Female,Richest_Wealth_quintile,Rural_Residence,2,2,2,Colombia
Male,Poorest_Wealth_quintile,Urban_Residence,28,14,9,Comoros
Male,Poorest_Wealth_quintile,Rural_Residence,28,14,17,Comoros
Female,Poorest_Wealth_quintile,Urban_Residence,28,15,9,Comoros
Female,Poorest_Wealth_quintile,Rural_Residence,28,15,17,Comoros
Male,Second_Wealth_quintile,Urban_Residence,18,14,9,Comoros
Male,Second_Wealth_quintile,Rural_Residence,18,14,17,Comoros
Female,Second_Wealth_quintile,Urban_Residence,18,15,9,Comoros
Female,Second_Wealth_quintile,Rural_Residence,18,15,17,Comoros
Male,Middle_Wealth_quintile,Urban_Residence,10,14,9,Comoros
Male,Middle_Wealth_quintile,Rural_Residence,10,14,17,Comoros
Female,Middle_Wealth_quintile,Urban_Residence,10,15,9,Comoros
Female,Middle_Wealth_quintile,Rural_Residence,10,15,17,Comoros
Male,Fourth_Wealth_quintile,Urban_Residence,4,14,9,Comoros
Male,Fourth_Wealth_quintile,Rural_Residence,4,14,17,Comoros
Female,Fourth_Wealth_quintile,Urban_Residence,4,15,9,Comoros
Female,Fourth_Wealth_quintile,Rural_Residence,4,15,17,Comoros
Male,Richest_Wealth_quintile,Urban_Residence,4,14,9,Comoros
Male,Richest_Wealth_quintile,Rural_Residence,4,14,17,Comoros
Female,Richest_Wealth_quintile,Urban_Residence,4,15,9,Comoros
Female,Richest_Wealth_quintile,Rural_Residence,4,15,17,Comoros
Male,Poorest_Wealth_quintile,Urban_Residence,8,3,2,Congo
Male,Poorest_Wealth_quintile,Rural_Residence,8,3,6,Congo
Female,Poorest_Wealth_quintile,Urban_Residence,8,3,2,Congo
Female,Poorest_Wealth_quintile,Rural_Residence,8,3,6,Congo
Male,Second_Wealth_quintile,Urban_Residence,4,3,2,Congo
Male,Second_Wealth_quintile,Rural_Residence,4,3,6,Congo
Female,Second_Wealth_quintile,Urban_Residence,4,3,2,Congo
Female,Second_Wealth_quintile,Rural_Residence,4,3,6,Congo
Male,Middle_Wealth_quintile,Urban_Residence,2,3,2,Congo
Male,Middle_Wealth_quintile,Rural_Residence,2,3,6,Congo
Female,Middle_Wealth_quintile,Urban_Residence,2,3,2,Congo
Female,Middle_Wealth_quintile,Rural_Residence,2,3,6,Congo
Male,Fourth_Wealth_quintile,Urban_Residence,1,3,2,Congo
Male,Fourth_Wealth_quintile,Rural_Residence,1,3,6,Congo
Female,Fourth_Wealth_quintile,Urban_Residence,1,3,2,Congo
Female,Fourth_Wealth_quintile,Rural_Residence,1,3,6,Congo
Male,Richest_Wealth_quintile,Urban_Residence,1,3,2,Congo
Male,Richest_Wealth_quintile,Rural_Residence,1,3,6,Congo
Female,Richest_Wealth_quintile,Urban_Residence,1,3,2,Congo
Female,Richest_Wealth_quintile,Rural_Residence,1,3,6,Congo
Male,Poorest_Wealth_quintile,Urban_Residence,1,1,1,Costa Rica
Male,Poorest_Wealth_quintile,Rural_Residence,1,1,1,Costa Rica
Female,Poorest_Wealth_quintile,Urban_Residence,1,1,1,Costa Rica
Female,Poorest_Wealth_quintile,Rural_Residence,1,1,1,Costa Rica
Male,Second_Wealth_quintile,Urban_Residence,2,1,1,Costa Rica
Male,Second_Wealth_quintile,Rural_Residence,2,1,1,Costa Rica
Female,Second_Wealth_quintile,Urban_Residence,2,1,1,Costa Rica
Female,Second_Wealth_quintile,Rural_Residence,2,1,1,Costa Rica
Male,Middle_Wealth_quintile,Urban_Residence,2,1,1,Costa Rica
Male,Middle_Wealth_quintile,Rural_Residence,2,1,1,Costa Rica
Female,Middle_Wealth_quintile,Urban_Residence,2,1,1,Costa Rica
Female,Middle_Wealth_quintile,Rural_Residence,2,1,1,Costa Rica
Male,Fourth_Wealth_quintile,Urban_Residence,1,1,1,Costa Rica
Male,Fourth_Wealth_quintile,Rural_Residence,1,1,1,Costa Rica
Female,Fourth_Wealth_quintile,Urban_Residence,1,1,1,Costa Rica
Female,Fourth_Wealth_quintile,Rural_Residence,1,1,1,Costa Rica
Male,Richest_Wealth_quintile,Urban_Residence,0,1,1,Costa Rica
Male,Richest_Wealth_quintile,Rural_Residence,0,1,1,Costa Rica
Female,Richest_Wealth_quintile,Urban_Residence,0,1,1,Costa Rica
Female,Richest_Wealth_quintile,Rural_Residence,0,1,1,Costa Rica
Male,Poorest_Wealth_quintile,Urban_Residence,38,21,15,C�te d'Ivoire
Male,Poorest_Wealth_quintile,Rural_Residence,38,21,29,C�te d'Ivoire
Female,Poorest_Wealth_quintile,Urban_Residence,38,26,15,C�te d'Ivoire
Female,Poorest_Wealth_quintile,Rural_Residence,38,26,29,C�te d'Ivoire
Male,Second_Wealth_quintile,Urban_Residence,29,21,15,C�te d'Ivoire
Male,Second_Wealth_quintile,Rural_Residence,29,21,29,C�te d'Ivoire
Female,Second_Wealth_quintile,Urban_Residence,29,26,15,C�te d'Ivoire
Female,Second_Wealth_quintile,Rural_Residence,29,26,29,C�te d'Ivoire
Male,Middle_Wealth_quintile,Urban_Residence,23,21,15,C�te d'Ivoire
Male,Middle_Wealth_quintile,Rural_Residence,23,21,29,C�te d'Ivoire
Female,Middle_Wealth_quintile,Urban_Residence,23,26,15,C�te d'Ivoire
Female,Middle_Wealth_quintile,Rural_Residence,23,26,29,C�te d'Ivoire
Male,Fourth_Wealth_quintile,Urban_Residence,13,21,15,C�te d'Ivoire
Male,Fourth_Wealth_quintile,Rural_Residence,13,21,29,C�te d'Ivoire
Female,Fourth_Wealth_quintile,Urban_Residence,13,26,15,C�te d'Ivoire
Female,Fourth_Wealth_quintile,Rural_Residence,13,26,29,C�te d'Ivoire
Male,Richest_Wealth_quintile,Urban_Residence,6,21,15,C�te d'Ivoire
Male,Richest_Wealth_quintile,Rural_Residence,6,21,29,C�te d'Ivoire
Female,Richest_Wealth_quintile,Urban_Residence,6,26,15,C�te d'Ivoire
Female,Richest_Wealth_quintile,Rural_Residence,6,26,29,C�te d'Ivoire
Male,Poorest_Wealth_quintile,Urban_Residence,35,21,13,Democratic Republic of the Congo
Male,Poorest_Wealth_quintile,Rural_Residence,35,21,28,Democratic Republic of the Congo
Female,Poorest_Wealth_quintile,Urban_Residence,35,22,13,Democratic Republic of the Congo
Female,Poorest_Wealth_quintile,Rural_Residence,35,22,28,Democratic Republic of the Congo
Male,Second_Wealth_quintile,Urban_Residence,29,21,13,Democratic Republic of the Congo
Male,Second_Wealth_quintile,Rural_Residence,29,21,28,Democratic Republic of the Congo
Female,Second_Wealth_quintile,Urban_Residence,29,22,13,Democratic Republic of the Congo
Female,Second_Wealth_quintile,Rural_Residence,29,22,28,Democratic Republic of the Congo
Male,Middle_Wealth_quintile,Urban_Residence,21,21,13,Democratic Republic of the Congo
Male,Middle_Wealth_quintile,Rural_Residence,21,21,28,Democratic Republic of the Congo
Female,Middle_Wealth_quintile,Urban_Residence,21,22,13,Democratic Republic of the Congo
Female,Middle_Wealth_quintile,Rural_Residence,21,22,28,Democratic Republic of the Congo
Male,Fourth_Wealth_quintile,Urban_Residence,15,21,13,Democratic Republic of the Congo
Male,Fourth_Wealth_quintile,Rural_Residence,15,21,28,Democratic Republic of the Congo
Female,Fourth_Wealth_quintile,Urban_Residence,15,22,13,Democratic Republic of the Congo
Female,Fourth_Wealth_quintile,Rural_Residence,15,22,28,Democratic Republic of the Congo
Male,Richest_Wealth_quintile,Urban_Residence,6,21,13,Democratic Republic of the Congo
Male,Richest_Wealth_quintile,Rural_Residence,6,21,28,Democratic Republic of the Congo
Female,Richest_Wealth_quintile,Urban_Residence,6,22,13,Democratic Republic of the Congo
Female,Richest_Wealth_quintile,Rural_Residence,6,22,28,Democratic Republic of the Congo
Male,Poorest_Wealth_quintile,Urban_Residence,6,4,3,Dominican Republic
Male,Poorest_Wealth_quintile,Rural_Residence,6,4,3,Dominican Republic
Female,Poorest_Wealth_quintile,Urban_Residence,6,2,3,Dominican Republic
Female,Poorest_Wealth_quintile,Rural_Residence,6,2,3,Dominican Republic
Male,Second_Wealth_quintile,Urban_Residence,4,4,3,Dominican Republic
Male,Second_Wealth_quintile,Rural_Residence,4,4,3,Dominican Republic
Female,Second_Wealth_quintile,Urban_Residence,4,2,3,Dominican Republic
Female,Second_Wealth_quintile,Rural_Residence,4,2,3,Dominican Republic
Male,Middle_Wealth_quintile,Urban_Residence,2,4,3,Dominican Republic
Male,Middle_Wealth_quintile,Rural_Residence,2,4,3,Dominican Republic
Female,Middle_Wealth_quintile,Urban_Residence,2,2,3,Dominican Republic
Female,Middle_Wealth_quintile,Rural_Residence,2,2,3,Dominican Republic
Male,Fourth_Wealth_quintile,Urban_Residence,3,4,3,Dominican Republic
Male,Fourth_Wealth_quintile,Rural_Residence,3,4,3,Dominican Republic
Female,Fourth_Wealth_quintile,Urban_Residence,3,2,3,Dominican Republic
Female,Fourth_Wealth_quintile,Rural_Residence,3,2,3,Dominican Republic
Male,Richest_Wealth_quintile,Urban_Residence,1,4,3,Dominican Republic
Male,Richest_Wealth_quintile,Rural_Residence,1,4,3,Dominican Republic
Female,Richest_Wealth_quintile,Urban_Residence,1,2,3,Dominican Republic
Female,Richest_Wealth_quintile,Rural_Residence,1,2,3,Dominican Republic
Male,Poorest_Wealth_quintile,Urban_Residence,5,3,3,Egypt
Male,Poorest_Wealth_quintile,Rural_Residence,5,3,3,Egypt
Female,Poorest_Wealth_quintile,Urban_Residence,5,3,3,Egypt
Female,Poorest_Wealth_quintile,Rural_Residence,5,3,3,Egypt
Male,Second_Wealth_quintile,Urban_Residence,4,3,3,Egypt
Male,Second_Wealth_quintile,Rural_Residence,4,3,3,Egypt
Female,Second_Wealth_quintile,Urban_Residence,4,3,3,Egypt
Female,Second_Wealth_quintile,Rural_Residence,4,3,3,Egypt
Male,Middle_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Male,Middle_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Female,Middle_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Female,Middle_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Male,Fourth_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Male,Fourth_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Female,Fourth_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Female,Fourth_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Male,Richest_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Male,Richest_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Female,Richest_Wealth_quintile,Urban_Residence,2,3,3,Egypt
Female,Richest_Wealth_quintile,Rural_Residence,2,3,3,Egypt
Male,Poorest_Wealth_quintile,Urban_Residence,8,4,3,El Salvador
Male,Poorest_Wealth_quintile,Rural_Residence,8,4,5,El Salvador
Female,Poorest_Wealth_quintile,Urban_Residence,8,3,3,El Salvador
Female,Poorest_Wealth_quintile,Rural_Residence,8,3,5,El Salvador
Male,Second_Wealth_quintile,Urban_Residence,4,4,3,El Salvador
Male,Second_Wealth_quintile,Rural_Residence,4,4,5,El Salvador
Female,Second_Wealth_quintile,Urban_Residence,4,3,3,El Salvador
Female,Second_Wealth_quintile,Rural_Residence,4,3,5,El Salvador
Male,Middle_Wealth_quintile,Urban_Residence,2,4,3,El Salvador
Male,Middle_Wealth_quintile,Rural_Residence,2,4,5,El Salvador
Female,Middle_Wealth_quintile,Urban_Residence,2,3,3,El Salvador
Female,Middle_Wealth_quintile,Rural_Residence,2,3,5,El Salvador
Male,Fourth_Wealth_quintile,Urban_Residence,2,4,3,El Salvador
Male,Fourth_Wealth_quintile,Rural_Residence,2,4,5,El Salvador
Female,Fourth_Wealth_quintile,Urban_Residence,2,3,3,El Salvador
Female,Fourth_Wealth_quintile,Rural_Residence,2,3,5,El Salvador
Male,Richest_Wealth_quintile,Urban_Residence,0,4,3,El Salvador
Male,Richest_Wealth_quintile,Rural_Residence,0,4,5,El Salvador
Female,Richest_Wealth_quintile,Urban_Residence,0,3,3,El Salvador
Female,Richest_Wealth_quintile,Rural_Residence,0,3,5,El Salvador
Male,Poorest_Wealth_quintile,Urban_Residence,2,2,1,Eswatini
Male,Poorest_Wealth_quintile,Rural_Residence,2,2,2,Eswatini
Female,Poorest_Wealth_quintile,Urban_Residence,2,1,1,Eswatini
Female,Poorest_Wealth_quintile,Rural_Residence,2,1,2,Eswatini
Male,Second_Wealth_quintile,Urban_Residence,2,2,1,Eswatini
Male,Second_Wealth_quintile,Rural_Residence,2,2,2,Eswatini
Female,Second_Wealth_quintile,Urban_Residence,2,1,1,Eswatini
Female,Second_Wealth_quintile,Rural_Residence,2,1,2,Eswatini
Male,Middle_Wealth_quintile,Urban_Residence,1,2,1,Eswatini
Male,Middle_Wealth_quintile,Rural_Residence,1,2,2,Eswatini
Female,Middle_Wealth_quintile,Urban_Residence,1,1,1,Eswatini
Female,Middle_Wealth_quintile,Rural_Residence,1,1,2,Eswatini
Male,Fourth_Wealth_quintile,Urban_Residence,2,2,1,Eswatini
Male,Fourth_Wealth_quintile,Rural_Residence,2,2,2,Eswatini
Female,Fourth_Wealth_quintile,Urban_Residence,2,1,1,Eswatini
Female,Fourth_Wealth_quintile,Rural_Residence,2,1,2,Eswatini
Male,Richest_Wealth_quintile,Urban_Residence,0,2,1,Eswatini
Male,Richest_Wealth_quintile,Rural_Residence,0,2,2,Eswatini
Female,Richest_Wealth_quintile,Urban_Residence,0,1,1,Eswatini
Female,Richest_Wealth_quintile,Rural_Residence,0,1,2,Eswatini
Male,Poorest_Wealth_quintile,Urban_Residence,41,26,9,Ethiopia
Male,Poorest_Wealth_quintile,Rural_Residence,41,26,27,Ethiopia
Female,Poorest_Wealth_quintile,Urban_Residence,41,25,9,Ethiopia
Female,Poorest_Wealth_quintile,Rural_Residence,41,25,27,Ethiopia
Male,Second_Wealth_quintile,Urban_Residence,30,26,9,Ethiopia
Male,Second_Wealth_quintile,Rural_Residence,30,26,27,Ethiopia
Female,Second_Wealth_quintile,Urban_Residence,30,25,9,Ethiopia
Female,Second_Wealth_quintile,Rural_Residence,30,25,27,Ethiopia
Male,Middle_Wealth_quintile,Urban_Residence,22,26,9,Ethiopia
Male,Middle_Wealth_quintile,Rural_Residence,22,26,27,Ethiopia
Female,Middle_Wealth_quintile,Urban_Residence,22,25,9,Ethiopia
Female,Middle_Wealth_quintile,Rural_Residence,22,25,27,Ethiopia
Male,Fourth_Wealth_quintile,Urban_Residence,19,26,9,Ethiopia
Male,Fourth_Wealth_quintile,Rural_Residence,19,26,27,Ethiopia
Female,Fourth_Wealth_quintile,Urban_Residence,19,25,9,Ethiopia
Female,Fourth_Wealth_quintile,Rural_Residence,19,25,27,Ethiopia
Male,Richest_Wealth_quintile,Urban_Residence,9,26,9,Ethiopia
Male,Richest_Wealth_quintile,Rural_Residence,9,26,27,Ethiopia
Female,Richest_Wealth_quintile,Urban_Residence,9,25,9,Ethiopia
Female,Richest_Wealth_quintile,Rural_Residence,9,25,27,Ethiopia
Male,Poorest_Wealth_quintile,Urban_Residence,8,4,4,Gabon
Male,Poorest_Wealth_quintile,Rural_Residence,8,4,5,Gabon
Female,Poorest_Wealth_quintile,Urban_Residence,8,3,4,Gabon
Female,Poorest_Wealth_quintile,Rural_Residence,8,3,5,Gabon
Male,Second_Wealth_quintile,Urban_Residence,4,4,4,Gabon
Male,Second_Wealth_quintile,Rural_Residence,4,4,5,Gabon
Female,Second_Wealth_quintile,Urban_Residence,4,3,4,Gabon
Female,Second_Wealth_quintile,Rural_Residence,4,3,5,Gabon
Male,Middle_Wealth_quintile,Urban_Residence,1,4,4,Gabon
Male,Middle_Wealth_quintile,Rural_Residence,1,4,5,Gabon
Female,Middle_Wealth_quintile,Urban_Residence,1,3,4,Gabon
Female,Middle_Wealth_quintile,Rural_Residence,1,3,5,Gabon
Male,Fourth_Wealth_quintile,Urban_Residence,2,4,4,Gabon
Male,Fourth_Wealth_quintile,Rural_Residence,2,4,5,Gabon
Female,Fourth_Wealth_quintile,Urban_Residence,2,3,4,Gabon
Female,Fourth_Wealth_quintile,Rural_Residence,2,3,5,Gabon
Male,Richest_Wealth_quintile,Urban_Residence,3,4,4,Gabon
Male,Richest_Wealth_quintile,Rural_Residence,3,4,5,Gabon
Female,Richest_Wealth_quintile,Urban_Residence,3,3,4,Gabon
Female,Richest_Wealth_quintile,Rural_Residence,3,3,5,Gabon
Male,Poorest_Wealth_quintile,Urban_Residence,32,28,18,Gambia
Male,Poorest_Wealth_quintile,Rural_Residence,32,28,35,Gambia
Female,Poorest_Wealth_quintile,Urban_Residence,32,27,18,Gambia
Female,Poorest_Wealth_quintile,Rural_Residence,32,27,35,Gambia
Male,Second_Wealth_quintile,Urban_Residence,34,28,18,Gambia
Male,Second_Wealth_quintile,Rural_Residence,34,28,35,Gambia
Female,Second_Wealth_quintile,Urban_Residence,34,27,18,Gambia
Female,Second_Wealth_quintile,Rural_Residence,34,27,35,Gambia
Male,Middle_Wealth_quintile,Urban_Residence,32,28,18,Gambia
Male,Middle_Wealth_quintile,Rural_Residence,32,28,35,Gambia
Female,Middle_Wealth_quintile,Urban_Residence,32,27,18,Gambia
Female,Middle_Wealth_quintile,Rural_Residence,32,27,35,Gambia
Male,Fourth_Wealth_quintile,Urban_Residence,23,28,18,Gambia
Male,Fourth_Wealth_quintile,Rural_Residence,23,28,35,Gambia
Female,Fourth_Wealth_quintile,Urban_Residence,23,27,18,Gambia
Female,Fourth_Wealth_quintile,Rural_Residence,23,27,35,Gambia
Male,Richest_Wealth_quintile,Urban_Residence,10,28,18,Gambia
Male,Richest_Wealth_quintile,Rural_Residence,10,28,35,Gambia
Female,Richest_Wealth_quintile,Urban_Residence,10,27,18,Gambia
Female,Richest_Wealth_quintile,Rural_Residence,10,27,35,Gambia
Male,Poorest_Wealth_quintile,Urban_Residence,2,1,1,Georgia
Male,Poorest_Wealth_quintile,Rural_Residence,2,1,2,Georgia
Female,Poorest_Wealth_quintile,Urban_Residence,2,1,1,Georgia
Female,Poorest_Wealth_quintile,Rural_Residence,2,1,2,Georgia
Male,Second_Wealth_quintile,Urban_Residence,2,1,1,Georgia
Male,Second_Wealth_quintile,Rural_Residence,2,1,2,Georgia
Female,Second_Wealth_quintile,Urban_Residence,2,1,1,Georgia
Female,Second_Wealth_quintile,Rural_Residence,2,1,2,Georgia
Male,Middle_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Male,Middle_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Female,Middle_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Female,Middle_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Male,Fourth_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Male,Fourth_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Female,Fourth_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Female,Fourth_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Male,Richest_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Male,Richest_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Female,Richest_Wealth_quintile,Urban_Residence,1,1,1,Georgia
Female,Richest_Wealth_quintile,Rural_Residence,1,1,2,Georgia
Male,Poorest_Wealth_quintile,Urban_Residence,16,7,4,Ghana
Male,Poorest_Wealth_quintile,Rural_Residence,16,7,8,Ghana
Female,Poorest_Wealth_quintile,Urban_Residence,16,6,4,Ghana
Female,Poorest_Wealth_quintile,Rural_Residence,16,6,8,Ghana
Male,Second_Wealth_quintile,Urban_Residence,6,7,4,Ghana
Male,Second_Wealth_quintile,Rural_Residence,6,7,8,Ghana
Female,Second_Wealth_quintile,Urban_Residence,6,6,4,Ghana
Female,Second_Wealth_quintile,Rural_Residence,6,6,8,Ghana
Male,Middle_Wealth_quintile,Urban_Residence,4,7,4,Ghana
Male,Middle_Wealth_quintile,Rural_Residence,4,7,8,Ghana
Female,Middle_Wealth_quintile,Urban_Residence,4,6,4,Ghana
Female,Middle_Wealth_quintile,Rural_Residence,4,6,8,Ghana
Male,Fourth_Wealth_quintile,Urban_Residence,3,7,4,Ghana
Male,Fourth_Wealth_quintile,Rural_Residence,3,7,8,Ghana
Female,Fourth_Wealth_quintile,Urban_Residence,3,6,4,Ghana
Female,Fourth_Wealth_quintile,Rural_Residence,3,6,8,Ghana
Male,Richest_Wealth_quintile,Urban_Residence,1,7,4,Ghana
Male,Richest_Wealth_quintile,Rural_Residence,1,7,8,Ghana
Female,Richest_Wealth_quintile,Urban_Residence,1,6,4,Ghana
Female,Richest_Wealth_quintile,Rural_Residence,1,6,8,Ghana
Male,Poorest_Wealth_quintile,Urban_Residence,9,5,4,Guatemala
Male,Poorest_Wealth_quintile,Rural_Residence,9,5,6,Guatemala
Female,Poorest_Wealth_quintile,Urban_Residence,9,6,4,Guatemala
Female,Poorest_Wealth_quintile,Rural_Residence,9,6,6,Guatemala
Male,Second_Wealth_quintile,Urban_Residence,7,5,4,Guatemala
Male,Second_Wealth_quintile,Rural_Residence,7,5,6,Guatemala
Female,Second_Wealth_quintile,Urban_Residence,7,6,4,Guatemala
Female,Second_Wealth_quintile,Rural_Residence,7,6,6,Guatemala
Male,Middle_Wealth_quintile,Urban_Residence,5,5,4,Guatemala
Male,Middle_Wealth_quintile,Rural_Residence,5,5,6,Guatemala
Female,Middle_Wealth_quintile,Urban_Residence,5,6,4,Guatemala
Female,Middle_Wealth_quintile,Rural_Residence,5,6,6,Guatemala
Male,Fourth_Wealth_quintile,Urban_Residence,2,5,4,Guatemala
Male,Fourth_Wealth_quintile,Rural_Residence,2,5,6,Guatemala
Female,Fourth_Wealth_quintile,Urban_Residence,2,6,4,Guatemala
Female,Fourth_Wealth_quintile,Rural_Residence,2,6,6,Guatemala
Male,Richest_Wealth_quintile,Urban_Residence,2,5,4,Guatemala
Male,Richest_Wealth_quintile,Rural_Residence,2,5,6,Guatemala
Female,Richest_Wealth_quintile,Urban_Residence,2,6,4,Guatemala
Female,Richest_Wealth_quintile,Rural_Residence,2,6,6,Guatemala
Male,Poorest_Wealth_quintile,Urban_Residence,55,31,14,Guinea
Male,Poorest_Wealth_quintile,Rural_Residence,55,31,44,Guinea
Female,Poorest_Wealth_quintile,Urban_Residence,55,37,14,Guinea
Female,Poorest_Wealth_quintile,Rural_Residence,55,37,44,Guinea
Male,Second_Wealth_quintile,Urban_Residence,43,31,14,Guinea
Male,Second_Wealth_quintile,Rural_Residence,43,31,44,Guinea
Female,Second_Wealth_quintile,Urban_Residence,43,37,14,Guinea
Female,Second_Wealth_quintile,Rural_Residence,43,37,44,Guinea
Male,Middle_Wealth_quintile,Urban_Residence,38,31,14,Guinea
Male,Middle_Wealth_quintile,Rural_Residence,38,31,44,Guinea
Female,Middle_Wealth_quintile,Urban_Residence,38,37,14,Guinea
Female,Middle_Wealth_quintile,Rural_Residence,38,37,44,Guinea
Male,Fourth_Wealth_quintile,Urban_Residence,22,31,14,Guinea
Male,Fourth_Wealth_quintile,Rural_Residence,22,31,44,Guinea
Female,Fourth_Wealth_quintile,Urban_Residence,22,37,14,Guinea
Female,Fourth_Wealth_quintile,Rural_Residence,22,37,44,Guinea
Male,Richest_Wealth_quintile,Urban_Residence,11,31,14,Guinea
Male,Richest_Wealth_quintile,Rural_Residence,11,31,44,Guinea
Female,Richest_Wealth_quintile,Urban_Residence,11,37,14,Guinea
Female,Richest_Wealth_quintile,Rural_Residence,11,37,44,Guinea
Male,Poorest_Wealth_quintile,Urban_Residence,38,29,11,Guinea-Bissau
Male,Poorest_Wealth_quintile,Rural_Residence,38,29,36,Guinea-Bissau
Female,Poorest_Wealth_quintile,Urban_Residence,38,26,11,Guinea-Bissau
Female,Poorest_Wealth_quintile,Rural_Residence,38,26,36,Guinea-Bissau
Male,Second_Wealth_quintile,Urban_Residence,39,29,11,Guinea-Bissau
Male,Second_Wealth_quintile,Rural_Residence,39,29,36,Guinea-Bissau
Female,Second_Wealth_quintile,Urban_Residence,39,26,11,Guinea-Bissau
Female,Second_Wealth_quintile,Rural_Residence,39,26,36,Guinea-Bissau
Male,Middle_Wealth_quintile,Urban_Residence,34,29,11,Guinea-Bissau
Male,Middle_Wealth_quintile,Rural_Residence,34,29,36,Guinea-Bissau
Female,Middle_Wealth_quintile,Urban_Residence,34,26,11,Guinea-Bissau
Female,Middle_Wealth_quintile,Rural_Residence,34,26,36,Guinea-Bissau
Male,Fourth_Wealth_quintile,Urban_Residence,19,29,11,Guinea-Bissau
Male,Fourth_Wealth_quintile,Rural_Residence,19,29,36,Guinea-Bissau
Female,Fourth_Wealth_quintile,Urban_Residence,19,26,11,Guinea-Bissau
Female,Fourth_Wealth_quintile,Rural_Residence,19,26,36,Guinea-Bissau
Male,Richest_Wealth_quintile,Urban_Residence,6,29,11,Guinea-Bissau
Male,Richest_Wealth_quintile,Rural_Residence,6,29,36,Guinea-Bissau
Female,Richest_Wealth_quintile,Urban_Residence,6,26,11,Guinea-Bissau
Female,Richest_Wealth_quintile,Rural_Residence,6,26,36,Guinea-Bissau
Male,Poorest_Wealth_quintile,Urban_Residence,2,1,1,Guyana
Male,Poorest_Wealth_quintile,Rural_Residence,2,1,1,Guyana
Female,Poorest_Wealth_quintile,Urban_Residence,2,1,1,Guyana
Female,Poorest_Wealth_quintile,Rural_Residence,2,1,1,Guyana
Male,Second_Wealth_quintile,Urban_Residence,0,1,1,Guyana
Male,Second_Wealth_quintile,Rural_Residence,0,1,1,Guyana
Female,Second_Wealth_quintile,Urban_Residence,0,1,1,Guyana
